contract_uid,contract_type,dataset,contract_basename,pdf_path,is_pdf_renamed,txt_path,is_txt_matched,is_txt_renamed,raw_html_path,is_raw_html_matched,is_raw_html_renamed,processed_html_path,ocr_results_path,pipeline_results_path,pipeline_results_csv_path,pipeline_results_json_path,processing_status
ct_12,Co_Branding,cuad,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_12.pdf,True,CUAD_v1/full_contract_txt/ct_12.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_12_ocr_results.json,,,,
ct_120,License_Agreements,cuad,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_120.pdf,True,CUAD_v1/full_contract_txt/ct_120.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_120_ocr_results.json,,,,
ct_121,License_Agreements,cuad,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_121.pdf,True,CUAD_v1/full_contract_txt/ct_121.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_121_ocr_results.json,,,,
ct_122,License_Agreements,cuad,IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_122.pdf,True,CUAD_v1/full_contract_txt/ct_122.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_122_ocr_results.json,,,,
ct_123,License_Agreements,cuad,IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_123.pdf,True,CUAD_v1/full_contract_txt/ct_123.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_123_ocr_results.json,,,,
ct_124,License_Agreements,cuad,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_124.pdf,True,CUAD_v1/full_contract_txt/ct_124.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_124_ocr_results.json,,,,
ct_125,License_Agreements,cuad,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_125.pdf,True,CUAD_v1/full_contract_txt/ct_125.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_125_ocr_results.json,,,,
ct_126,License_Agreements,cuad,MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_126.pdf,True,CUAD_v1/full_contract_txt/ct_126.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_126_ocr_results.json,,,,
ct_127,License_Agreements,cuad,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_127.pdf,True,CUAD_v1/full_contract_txt/ct_127.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_127_ocr_results.json,,,,
ct_128,License_Agreements,cuad,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_128.pdf,True,CUAD_v1/full_contract_txt/ct_128.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_128_ocr_results.json,,,,
ct_129,License_Agreements,cuad,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_129.pdf,True,CUAD_v1/full_contract_txt/ct_129.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_129_ocr_results.json,,,,
ct_13,Co_Branding,cuad,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_13.pdf,True,CUAD_v1/full_contract_txt/ct_13.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_13_ocr_results.json,,,,
ct_130,License_Agreements,cuad,PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_130.pdf,True,CUAD_v1/full_contract_txt/ct_130.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_130_ocr_results.json,,,,
ct_131,License_Agreements,cuad,PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_131.pdf,True,CUAD_v1/full_contract_txt/ct_131.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_131_ocr_results.json,,,,
ct_132,License_Agreements,cuad,PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_132.pdf,True,CUAD_v1/full_contract_txt/ct_132.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_132_ocr_results.json,,,,
ct_133,License_Agreements,cuad,PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_133.pdf,True,CUAD_v1/full_contract_txt/ct_133.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_133_ocr_results.json,,,,
ct_134,License_Agreements,cuad,RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_134.pdf,True,CUAD_v1/full_contract_txt/ct_134.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_134_ocr_results.json,,,,
ct_135,License_Agreements,cuad,VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_135.pdf,True,CUAD_v1/full_contract_txt/ct_135.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_135_ocr_results.json,,,,
ct_136,License_Agreements,cuad,WatchitMediaInc_20061201_8-K_EX-10.1_4148672_EX-10.1_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_136.pdf,True,CUAD_v1/full_contract_txt/ct_136.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_136_ocr_results.json,,,,
ct_137,License_Agreements,cuad,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_137.pdf,True,CUAD_v1/full_contract_txt/ct_137.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_137_ocr_results.json,,,,
ct_138,License_Agreements,cuad,XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement,CUAD_v1/full_contract_pdf/Part_I/License_Agreements/ct_138.pdf,True,CUAD_v1/full_contract_txt/ct_138.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_138_ocr_results.json,,,,
ct_139,Maintenance,cuad,AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_139.pdf,True,CUAD_v1/full_contract_txt/ct_139.txt,True,True,CUAD_v1/contract_raw_html/ct_139.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_139_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_139/ct_139_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_139/ct_139.json,True
ct_14,Co_Branding,cuad,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_14.pdf,True,CUAD_v1/full_contract_txt/ct_14.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_14_ocr_results.json,,,,
ct_140,Maintenance,cuad,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_140.pdf,True,CUAD_v1/full_contract_txt/ct_140.txt,True,True,CUAD_v1/contract_raw_html/ct_140.htm,True,True,,../data/CUAD_v1/contract_ocr_results/ct_140_ocr_results.json,,,,True
ct_141,Maintenance,cuad,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_141.pdf,True,CUAD_v1/full_contract_txt/ct_141.txt,True,True,CUAD_v1/contract_raw_html/ct_141.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_141_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_141/ct_141_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_141/ct_141.json,True
ct_142,Maintenance,cuad,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_142.pdf,True,CUAD_v1/full_contract_txt/ct_142.txt,True,True,CUAD_v1/contract_raw_html/ct_142.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_142_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_142/ct_142_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_142/ct_142.json,True
ct_143,Maintenance,cuad,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_143.pdf,True,CUAD_v1/full_contract_txt/ct_143.txt,True,True,CUAD_v1/contract_raw_html/ct_143.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_143_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_143/ct_143_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_143/ct_143.json,True
ct_144,Maintenance,cuad,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_144.pdf,True,CUAD_v1/full_contract_txt/ct_144.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_144_ocr_results.json,,,,
ct_145,Maintenance,cuad,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_145.pdf,True,CUAD_v1/full_contract_txt/ct_145.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_145_ocr_results.json,,,,
ct_146,Maintenance,cuad,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_146.pdf,True,CUAD_v1/full_contract_txt/ct_146.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_146_ocr_results.json,,,,
ct_147,Maintenance,cuad,HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement,CUAD_v1/full_contract_pdf/Part_I/Maintenance/ct_147.pdf,True,CUAD_v1/full_contract_txt/ct_147.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_147_ocr_results.json,,,,
ct_148,Manufacturing,cuad,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_148.pdf,True,CUAD_v1/full_contract_txt/ct_148.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_148_ocr_results.json,,,,
ct_149,Manufacturing,cuad,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_149.pdf,True,CUAD_v1/full_contract_txt/ct_149.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_149_ocr_results.json,,,,
ct_15,Co_Branding,cuad,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_15.pdf,True,CUAD_v1/full_contract_txt/ct_15.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_15_ocr_results.json,,,,
ct_150,Manufacturing,cuad,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_150.pdf,True,CUAD_v1/full_contract_txt/ct_150.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_150_ocr_results.json,,,,
ct_151,Manufacturing,cuad,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_151.pdf,True,CUAD_v1/full_contract_txt/ct_151.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_151_ocr_results.json,,,,
ct_152,Manufacturing,cuad,InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_152.pdf,True,CUAD_v1/full_contract_txt/ct_152.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_152_ocr_results.json,,,,
ct_153,Manufacturing,cuad,KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_153.pdf,True,CUAD_v1/full_contract_txt/ct_153.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_153_ocr_results.json,,,,
ct_154,Manufacturing,cuad,NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_154.pdf,True,CUAD_v1/full_contract_txt/ct_154.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_154_ocr_results.json,,,,
ct_155,Manufacturing,cuad,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,CUAD_v1/full_contract_pdf/Part_I/Manufacturing/ct_155.pdf,True,CUAD_v1/full_contract_txt/ct_155.txt,True,True,CUAD_v1/contract_raw_html/ct_155.html,True,True,,../data/CUAD_v1/contract_ocr_results/ct_155_ocr_results.json,,../data/CUAD_v1/contract_pipeline_results/ct_155/ct_155_match_metadata.csv,../data/CUAD_v1/contract_pipeline_results/ct_155/ct_155.json,True
ct_156,Marketing,cuad,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,CUAD_v1/full_contract_pdf/Part_I/Marketing/ct_156.pdf,True,CUAD_v1/full_contract_txt/ct_156.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_156_ocr_results.json,,,,
ct_157,Marketing,cuad,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement,CUAD_v1/full_contract_pdf/Part_I/Marketing/ct_157.pdf,True,CUAD_v1/full_contract_txt/ct_157.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_157_ocr_results.json,,,,
ct_158,Marketing,cuad,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,CUAD_v1/full_contract_pdf/Part_I/Marketing/ct_158.pdf,True,CUAD_v1/full_contract_txt/ct_158.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_158_ocr_results.json,,,,
ct_159,Marketing,cuad,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,CUAD_v1/full_contract_pdf/Part_I/Marketing/ct_159.pdf,True,CUAD_v1/full_contract_txt/ct_159.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_159_ocr_results.json,,,,
ct_16,Co_Branding,cuad,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,CUAD_v1/full_contract_pdf/Part_I/Co_Branding/ct_16.pdf,True,CUAD_v1/full_contract_txt/ct_16.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_16_ocr_results.json,,,,
ct_160,Marketing,cuad,VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement,CUAD_v1/full_contract_pdf/Part_I/Marketing/ct_160.pdf,True,CUAD_v1/full_contract_txt/ct_160.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_160_ocr_results.json,,,,
ct_161,Marketing,cuad,XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,CUAD_v1/full_contract_pdf/Part_I/Marketing/ct_161.pdf,True,CUAD_v1/full_contract_txt/ct_161.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_161_ocr_results.json,,,,
ct_162,Non_Compete_Non_Solicit,cuad,Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT,CUAD_v1/full_contract_pdf/Part_I/Non_Compete_Non_Solicit/ct_162.PDF,True,CUAD_v1/full_contract_txt/ct_162.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_162_ocr_results.json,,,,
ct_163,Non_Compete_Non_Solicit,cuad,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",CUAD_v1/full_contract_pdf/Part_I/Non_Compete_Non_Solicit/ct_163.PDF,True,CUAD_v1/full_contract_txt/ct_163.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_163_ocr_results.json,,,,
ct_164,Non_Compete_Non_Solicit,cuad,WESTERN COPPER - NON-COMPETITION AGREEMENT,CUAD_v1/full_contract_pdf/Part_I/Non_Compete_Non_Solicit/ct_164.PDF,True,CUAD_v1/full_contract_txt/ct_164.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_164_ocr_results.json,,,,
ct_165,Outsourcing,cuad,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,CUAD_v1/full_contract_pdf/Part_I/Outsourcing/ct_165.pdf,True,CUAD_v1/full_contract_txt/ct_165.txt,True,True,,False,False,,../data/CUAD_v1/contract_ocr_results/ct_165_ocr_results.json,,,,
